"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"4966","19920422","234103","-3.95","-79.95","90","5","20223006"
"4974","19920426","052842","-7.64","-74.32","161","5","20223006"
"4976","19920427","020908","-13.03","-76.36","37","5","20223006"
"5010","19920601","014716","-17.319","-70.496","81","5","20223006"
"5060","19920806","041526","-6.32","-79.73","64","5","20223006"
"5069","19920825","121043","-15.13","-75.14","33","5","20223006"
"5085","19920922","064906","-4.02","-76.9","53","5","20223006"
"5092","19921003","033220","-8.93","-76.5","15","5","20223006"
"5096","19921006","004503","-8.77","-79.6","31","5","20223006"
"5105","19921016","130448","-14.56","-74.9","44","5","20223006"
"5127","19921106","184837","-6.57","-75.27","142","5","20223006"
"5157","19921211","175758","-16.01","-76.46","15","5","20223006"
"5209","19930125","125028","-4.9","-75.94","151","5","20223006"
"5212","19930131","100231","-13.57","-75.93","71","5","20223006"
"5214","19930201","185457","-7.7","-75.34","98","5","20223006"
"5220","19930206","050716","-15.66","-73.68","66","5","20223006"
"5247","19930317","201058","-14.54","-75.33","89","5","20223006"
"5254","19930323","231355","-15.22","-71.03","163","5","20223006"
"5260","19930403","083003","-5.77","-75.79","152","5","20223006"
"5263","19930404","234407","-6.08","-80.44","56","5","20223006"
"5265","19930407","013011","-13.97","-75.17","79","5","20223006"
"5315","19930516","150013","-5.24","-80.04","63","5","20223006"
"5353","19930707","112449","-17.89","-72.47","30","5","20223006"
"5355","19930724","175416","-15.1","-71.76","130","5","20223006"
"5453","19931209","045145","-6.35","-77.98","136","5","20223006"
"5472","19931231","093653","-15.98","-73.24","66","5","20223006"
"5476","19940105","191216","-10.33","-75.77","11","5","20223006"
"5481","19940109","124338","-16.913","-69.59","170","5","20223006"
"5488","19940119","032818","-5.61","-78.76","16","5","20223006"
"5495","19940121","204237","-14.82","-74.33","42","5","20223006"
"5515","19940215","182743","-7.9","-76.79","23","5","20223006"
"5549","19940315","073340","-12.81","-76.97","29","5","20223006"
"5602","19940427","121708","-5.865","-76.618","151","5","20223006"
"5625","19940509","093355","-3.83","-79.81","24","5","20223006"
"5635","19940515","201945","-17.51","-71.66","20","5","20223006"
"5646","19940526","114537","-11.36","-76.81","94","5","20223006"
"5658","19940604","182121","-12.69","-76.63","32","5","20223006"
"5664","19940610","042801","-8.74","-79.12","27","5","20223006"
"5670","19940616","112808","-14.72","-73.43","165","5","20223006"
"5676","19940620","100213","-7.31","-79.16","23","5","20223006"
"5677","19940620","103140","-11.67","-77.98","42","5","20223006"
"5687","19940626","085533","-14.75","-73.38","44","5","20223006"
"5699","19940705","015911","-11.64","-76.2","142","5","20223006"
"5705","19940708","055241","-12.47","-74.65","15","5","20223006"
"5707","19940708","222832","-14.74","-76.11","40","5","20223006"
"5742","19940808","075721","-12.5","-75.68","75","5","20223006"
"5744","19940810","141731","-13.19","-75.01","55","5","20223006"
"5750","19940813","072307","-6.81","-80.71","25","5","20223006"
"5775","19940916","211958","-2.83","-77.84","51","5","20223006"
"5809","19941025","121953","-8.86","-74.37","67","5","20223006"
"5820","19941105","045730","-7.36","-75.75","23","5","20223006"
"5824","19941109","050257","-7.89","-77.72","31","5","20223006"
"5836","19941121","045558","-9.23","-78.29","37","5","20223006"
"5863","19941219","081152","-9.12","-79.54","32","5","20223006"
"5888","19950116","083225","-9.74","-78.47","21","5","20223006"
"5892","19950120","034153","-9.38","-79.33","25","5","20223006"
"5923","19950216","120426","-8.59","-76.15","28","5","20223006"
"5927","19950218","051553","-11.41","-75.73","17","5","20223006"
"5952","19950307","012043","-15.99","-74.37","10","5","20223006"
"6045","19950602","092607","-13.86","-76.24","38","5","20223006"
"6064","19950608","230909","-14.87","-74.08","92","5","20223006"
"6095","19950626","032437","-15.4","-74.47","7","5","20223006"
"6128","19950719","024143","-3.53","-81.48","49","5","20223006"
"6153","19950803","010603","-15.52","-73.67","13","5","20223006"
"6167","19950813","155357","-2.78","-80.42","30","5","20223006"
"6218","19950906","200456","-11.68","-75.79","115","5","20223006"
"6223","19950909","221501","-16.56","-71.77","33","5","20223006"
"6238","19950917","184631","-10.91","-78.94","38","5","20223006"
"6242","19950919","203523","-15.2","-73.72","9","5","20223006"
"6244","19950921","033352","-14.96","-76.47","29","5","20223006"
"6256","19950927","082143","-11.71","-78.11","24","5","20223006"
"6276","19951003","021046","-2.726","-77.987","33","5","20223006"
"6291","19951003","114016","-2.672","-77.785","33","5","20223006"
"6300","19951003","170101","-2.883","-77.903","33","5","20223006"
"6309","19951004","125645","-2.551","-77.518","63","5","20223006"
"6315","19951005","024518","-2.818","-77.851","33","5","20223006"
"6317","19951005","120428","-2.76","-74.91","77","5","20223006"
"6320","19951006","001521","-5.39","-76.9","119","5","20223006"
"6363","19951021","165937","-14.71","-74.36","50","5","20223006"
"6446","19951204","155142","-8.01","-74.7","104","5","20223006"
"6461","19951210","161230","-13.55","-76.82","33","5","20223006"
"6471","19951217","020724","-10.24","-78.99","30","5","20223006"
"6493","19951231","094639","-11.44","-78.58","9","5","20223006"
"6516","19960115","100729","-17.4915","-71.3316","80","5","20223006"
"6542","19960208","134436","-14.0128","-72.8202","92","5","20223006"
"6567","19960221","134717","-9.788","-79.816","33","5","20223006"
"6568","19960221","140036","-9.673","-79.9326","39","5","20223006"
"6586","19960223","024200","-9.7227","-79.9946","37","5","20223006"
"6593","19960224","141959","-10.5131","-80.7266","14","5","20223006"
"6654","19960410","124338","-17.0683","-74.2056","30","5","20223006"
"6657","19960414","134659","-17.6013","-72.7108","19","5","20223006"
"6688","19960511","155744","-10.4824","-79.7518","32","5","20223006"
"6693","19960520","190435","-11.075","-77.3277","65","5","20223006"
"6803","19960812","155719","-3.0831","-77.7035","63","5","20223006"
"6810","19960815","015713","-6.5556","-79.6922","67","5","20223006"
"6812","19960815","091025","-6.4493","-79.2481","91","5","20223006"
"6827","19960825","171806","-6.7823","-80.8553","25","5","20223006"
"6830","19960826","020314","-10.2402","-75.4746","23","5","20223006"
"6870","19960921","115950","-10.8661","-74.0897","48","5","20223006"
"6896","19961012","054446","-11.1127","-75.2529","8","5","20223006"
"6916","19961112","112133","-17.5157","-70.7241","95","5","20223006"
"6929","19961112","183107","-15.5897","-75.9118","13","5","20223006"
"6932","19961112","190531","-15.2684","-75.8062","30","5","20223006"
"6955","19961113","021630","-15.657","-75.8915","25","5","20223006"
"6976","19961113","101801","-15.2235","-75.7415","29","5","20223006"
"7169","19970119","204320","-13.1204","-77.0976","45","5","20223006"
"7194","19970209","072341","-15.8959","-75.8956","12","5","20223006"
"7226","19970215","033239","-14.6005","-76.5439","28","5","20223006"
"7372","19970601","171503","-17.1835","-71.6421","61","5","20223006"
"7410","19970703","232836","-9.1673","-75.8259","144","5","20223006"
"7431","19970716","073220","-7.9971","-74.2811","163","5","20223006"
"7491","19970831","063017","-4.7627","-79.3741","119","5","20223006"
"7506","19970908","153313","-14.0699","-71.74","128","5","20223006"
"7576","19971023","095415","-15.7073","-75.7454","19","5","20223006"
"7579","19971025","205531","-16.0256","-75.7576","6","5","20223006"
"7587","19971031","030811","-9.8617","-74.5505","152","5","20223006"
"7635","19971217","113432","-10.2237","-80.6109","17","5","20223006"
"7637","19971218","192739","-8.8436","-75.9926","22","5","20223006"
"7749","19980225","074628","-11.023","-74.3134","20","5","20223006"
"7803","19980320","130838","-11.2451","-78.4596","18","5","20223006"
"7804","19980321","010442","-7.5427","-74.364","167","5","20223006"
"7814","19980328","064719","-14.8665","-71.8807","147","5","20223006"
